length,kbytes,curlybrackets,roundbrackets,colon,semicolon,comma,other,lines,words,lower,upper,digit,relat,space,ext
37,26691,100,114.0,154.0,3.0,446.0,2455.0,377.0,1420.0,11470.0,6137.0,3006.0,6.0,2800.0,ipynb
15,25100,90,98.0,137.0,1.0,336.0,2161.0,341.0,1331.0,11296.0,5779.0,2710.0,4.0,2488.0,ipynb
25,24642,90,112.0,141.0,1.0,323.0,2051.0,327.0,1286.0,11069.0,5770.0,2699.0,4.0,2382.0,ipynb
25,25414,88,90.0,138.0,0.0,352.0,2172.0,345.0,1320.0,11389.0,5775.0,2687.0,5.0,2718.0,ipynb
28,25560,94,102.0,149.0,0.0,339.0,2243.0,343.0,1330.0,11576.0,5795.0,2720.0,4.0,2538.0,ipynb
18,14653,140,123.0,196.0,0.0,406.0,2680.0,515.0,1796.0,6267.0,208.0,1111.0,88.0,3434.0,ipynb
25,57376,152,363.0,281.0,1054.0,672.0,10144.0,579.0,2696.0,22045.0,484.0,15078.0,121.0,6982.0,ipynb
26,15658,140,169.0,199.0,42.0,407.0,2919.0,530.0,1848.0,6782.0,283.0,1101.0,84.0,3532.0,ipynb
32,15810,144,125.0,199.0,0.0,423.0,2945.0,548.0,1954.0,6778.0,256.0,1052.0,84.0,3804.0,ipynb
35,15841,144,125.0,201.0,0.0,413.0,3012.0,542.0,1878.0,6843.0,284.0,1060.0,84.0,3675.0,ipynb
24,14323,140,145.0,198.0,0.0,434.0,2583.0,554.0,1595.0,6505.0,255.0,562.0,13.0,3488.0,ipynb
28,15544,140,127.0,191.0,0.0,425.0,2882.0,538.0,1857.0,6818.0,209.0,1075.0,83.0,3594.0,ipynb
11,8781,162,62.0,173.0,0.0,206.0,1485.0,334.0,957.0,4323.0,167.0,202.0,0.0,2001.0,ipynb
22,8980,144,84.0,159.0,0.0,225.0,1584.0,320.0,994.0,4461.0,190.0,217.0,0.0,1916.0,ipynb
31,11679,136,95.0,166.0,54.0,226.0,1995.0,340.0,1095.0,5499.0,229.0,896.0,6.0,2377.0,ipynb
15,9074,144,82.0,172.0,0.0,235.0,1537.0,316.0,983.0,4405.0,184.0,282.0,8.0,2025.0,ipynb
24,8596,158,66.0,167.0,0.0,200.0,1483.0,323.0,934.0,4290.0,173.0,208.0,0.0,1851.0,ipynb
23,8131,128,66.0,153.0,0.0,193.0,1398.0,311.0,902.0,4069.0,161.0,198.0,2.0,1763.0,ipynb
8,8473,140,72.0,152.0,26.0,209.0,1499.0,310.0,915.0,4244.0,179.0,192.0,0.0,1760.0,ipynb
22,7213,116,50.0,136.0,0.0,168.0,1217.0,269.0,840.0,3666.0,146.0,191.0,2.0,1521.0,ipynb
8,300553,132,56.0,155.0,0.0,7927.0,49154.0,2889.0,8647.0,125963.0,5124.0,89673.0,2.0,22367.0,ipynb
25,8730,168,64.0,172.0,0.0,213.0,1539.0,335.0,962.0,4289.0,174.0,217.0,0.0,1894.0,ipynb
8,7440,124,60.0,141.0,0.0,191.0,1282.0,258.0,856.0,3859.0,152.0,147.0,0.0,1484.0,ipynb
27,8974,182,56.0,185.0,0.0,218.0,1562.0,348.0,968.0,4413.0,166.0,219.0,0.0,1973.0,ipynb
28,9191,166,70.0,174.0,0.0,214.0,1586.0,334.0,1008.0,4477.0,318.0,212.0,0.0,1974.0,ipynb
15,22543,172,154.0,230.0,4.0,564.0,3234.0,548.0,1846.0,9513.0,3142.0,1960.0,3.0,3567.0,ipynb
29,24086,188,220.0,250.0,4.0,621.0,3567.0,600.0,1962.0,10165.0,3177.0,2001.0,7.0,3886.0,ipynb
15,22542,172,154.0,230.0,4.0,564.0,3233.0,548.0,1846.0,9513.0,3142.0,1960.0,3.0,3567.0,ipynb
18,23815,182,220.0,245.0,4.0,605.0,3537.0,592.0,1949.0,10108.0,3183.0,1888.0,7.0,3836.0,ipynb
19,25884,170,272.0,244.0,32.0,628.0,4079.0,630.0,2025.0,10734.0,3141.0,2219.0,18.0,4347.0,ipynb
34,139908,182,222.0,1238.0,5.0,8874.0,20844.0,1711.0,11156.0,53601.0,24050.0,11003.0,5.0,19884.0,ipynb
22,25349,174,216.0,241.0,4.0,678.0,3944.0,621.0,2047.0,10449.0,3338.0,1974.0,5.0,4326.0,ipynb
23,24099,178,222.0,239.0,4.0,615.0,3746.0,615.0,2000.0,9897.0,3108.0,1872.0,7.0,4211.0,ipynb
24,28647,186,310.0,260.0,67.0,700.0,4506.0,673.0,2195.0,11579.0,3427.0,2792.0,22.0,4798.0,ipynb
15,24547,170,192.0,235.0,3.0,695.0,3944.0,625.0,1988.0,9764.0,3320.0,1958.0,7.0,4259.0,ipynb
